fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,CORR_ID,CORR_NOMB,CORR_LEY,LEY_MOD_C,GACETA_C,GACE_MOD_C,Shape_Leng,Shape_Area,REGI_ID,CORR_CODE,DIST_CODE
1,"01",BOCAS DEL TORO,"01",BOCAS DEL TORO,"02",BASTIMENTOS,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 5 DEL 19 DE ENERO DE 1998,GA 19956,GA 23464,230615.613822847,60934604.0587024,"0101","010102","0101"
2,"01",BOCAS DEL TORO,"04",ALMIRANTE,"08",CAUCHERO,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 172 DEL 19 DE OCTUBRE DE 2020,GA 23664,GA 29169-B,103274.127170286,140124904.462093,"0105","010408","0104"
3,"01",BOCAS DEL TORO,"01",BOCAS DEL TORO,"04",PUNTA LAUREL,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 5 DEL 19 DE ENERO DE 1998,GA 19956,GA 23464,180760.335811639,71337157.9338619,"0101","010104","0101"
4,"01",BOCAS DEL TORO,"02",CHANGUINOLA,"17",FINCA 60,LEY N° 39 DEL 8 DE JUNIO DE 2015,LEY N° 172 DEL 19 DE OCTUBRE DE 2020,GA 27801-A,GA 29169-B,38223.0445603647,30219397.65908,"0103","010217","0102"
5,"01",BOCAS DEL TORO,"02",CHANGUINOLA,"03",GUABITO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,"LEY N° 5 DEL 19 DE ENERO DE 1998, LEY N° 40 DEL 30 DE ABRIL DE 2003, LEY N° 172 DE 19 DE OCTUBRE DE 2020, LEY N° 188 DEL 4 DE DICIEMBREDE 2020",GA 19956,"GA 23464, GA 24794, GA 29169-B, GA 29170-A",62557.317086968,90510421.0024887,"0102","010203","0102"
6,"01",BOCAS DEL TORO,"02",CHANGUINOLA,"07",LAS TABLAS,LEY N° 40 DEL 30 DE ABRIL DE 2003,LEY N° 18 DEL 26 DE FEBRERO DE 2009,GA 24794,GA 26233,35266.3652132277,51682280.4035799,"0102","010207","0102"
7,"01",BOCAS DEL TORO,"02",CHANGUINOLA,"08",COCHIGRÓ,LEY N° 18 DEL 26 DE FEBRERO DE 2009,LEY N° 188 DEL 4 DE DICIEMBREDE 2020,GA 26261,GA 29170-A,88286.7446349777,193908044.937073,"0103","010208","0102"
8,"01",BOCAS DEL TORO,"02",CHANGUINOLA,"09",LA GLORIA,LEY N° 18 DEL 26 DE FEBRERO DE 2009,N/A,GA 26233,N/A,86554.1526851324,158779649.434703,"0104","010209","0102"
9,"01",BOCAS DEL TORO,"05",COMARCA NASO TJËR DI,"01",ÁREA DE LA COMARCA NASO TJËR DI,LEY N° 188 DEL 4 DE DICIEMBRE DE 2020,N/A,GA 29170-A,N/A,228099.750744016,1606279380.20424,"0102","010501","0105"
10,"01",BOCAS DEL TORO,"03",CHIRIQUÍ GRANDE,"01",CHIRIQUÍ GRANDE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,GA 19956,GA 23664,90176.3087966813,60355539.9974218,"0105","010301","0103"
