fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,DIST_LEY,LEY_MOD_D,GACETA_D,GACE_MOD_D,Shape_Leng,Shape_Area,DIST_CODE
1,"01",BOCAS DEL TORO,"01",BOCAS DEL TORO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,"LEY N° 10 DEL 7 DE MARZO DE 1997, LEY N° 69 DEL 28 DE OCTUBRE DE 1998",GA 19956,"GA 23242, GA 23664",769527.181798948,285386234.771318,"0101"
2,"01",BOCAS DEL TORO,"02",CHANGUINOLA,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 39 DEL 8 DE JUNIO DE 2015,GA 19956,GA 27801-A,305874.815640394,983685471.366379,"0102"
3,"01",BOCAS DEL TORO,"03",CHIRIQUÍ GRANDE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,"LEY N° 10 DEL 7 DE MARZO DE 1997, LEY N° 69 DEL 28 DE OCTUBRE DE 1998",GA 19956,"GA 23242, GA 23664",258154.77906766,210284612.91876,"0103"
4,"01",BOCAS DEL TORO,"04",ALMIRANTE,LEY N° 39 DEL 8 DE JUNIO DE 2015,N/A,GA 27801-A,N/A,344610.961800511,1568789000.26878,"0104"
5,"01",BOCAS DEL TORO,"05",COMARCA NASO TJËR DI,LEY N° 188 DEL 4 DE DICIEMBRE DE 2020,N/A,GA 29170-A,N/A,228099.750744016,1606279380.20424,"0105"
6,"02",COCLÉ,"02",ANTÓN,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,188007.785504418,743755436.110997,"0202"
7,"02",COCLÉ,"03",LA PINTADA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,192621.564894534,1031345640.27274,"0203"
8,"02",COCLÉ,"05",OLÁ,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,94394.4400341768,377527675.138534,"0205"
9,"02",COCLÉ,"06",PENONOMÉ,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,317636.128007483,1708879867.53056,"0206"
10,"03",COLÓN,"01",COLÓN,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 19981,1648878.90042624,1193392166.16585,"0301"
11,"03",COLÓN,"02",CHAGRES,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 19981,138890.157534426,447423077.957525,"0302"
12,"03",COLÓN,"03",DONOSO,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 11 DEL 20 DE FEBRERO DE 2018",GA 02404,"GA 19981, GA 28469-B",325421.299913511,1628462192.63485,"0303"
13,"03",COLÓN,"04",PORTOBELO,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 19981,222820.67126904,398777823.594006,"0304"
14,"03",COLÓN,"05",SANTA ISABEL,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 19981,229355.193732267,739835348.402461,"0305"
15,"03",COLÓN,"06",OMAR TORRIJOS HERRERA,LEY N° 11 DEL 20 DE FEBRERO DE 2018,N/A,GA 28469-B,N/A,89474.1463702823,197666100.926389,"0306"
16,"04",CHIRIQUÍ,"01",ALANJE,LEY N° 8 DEL 15 DE OCTUBRE DE 1908,"LEY N° 1 DEL 22 DE AGOSTO DE 1916, LEY N° 1 DEL 27 DE OCTUBRE DE 1982",GA 00705,"GA 2404, GA 20047",121531.180790317,455199476.865593,"0401"
17,"04",CHIRIQUÍ,"02",BARÚ,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 20047,N/A,225516.184614004,599982708.516176,"0402"
18,"04",CHIRIQUÍ,"03",BOQUERÓN,LEY N° 8 DEL 15 DE OCTUBRE DE 1908,"LEY N° 1 DEL 22 DE AGOSTO DE 1916, LEY N° 1 DEL 27 DE OCTUBRE DE 1982",GA 00705,"GA 2404, GA 20047",112609.581198753,298171688.780437,"0403"
19,"04",CHIRIQUÍ,"04",BOQUETE,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 20047,135418.520515241,489863696.192665,"0404"
20,"04",CHIRIQUÍ,"05",BUGABA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 20047,137449.340832173,517310378.665238,"0405"
21,"04",CHIRIQUÍ,"06",DAVID,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE1982,GA 02404,GA 20047,474732.156118732,892573651.403071,"0406"
22,"04",CHIRIQUÍ,"07",DOLEGA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 20047,109985.844685413,251428148.99395,"0407"
23,"04",CHIRIQUÍ,"08",GUALACA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N°69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 20047, GA 23664",222455.689912994,616764922.720197,"0408"
24,"04",CHIRIQUÍ,"09",REMEDIOS,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N°69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 20047, GA 23664",126944.875174307,172325512.953393,"0409"
25,"04",CHIRIQUÍ,"10",RENACIMIENTO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 20047,N/A,144668.107414804,528219042.593034,"0410"
26,"04",CHIRIQUÍ,"11",SAN FÉLIX,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N°69  DEL 28 DE OCTUBRE DE 1998,GA 20047,GA 23664,115098.941341189,226474762.297247,"0411"
27,"04",CHIRIQUÍ,"12",SAN LORENZO,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N°69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 20047, GA 23664",405848.048354073,689075267.9896,"0412"
28,"04",CHIRIQUÍ,"13",TOLÉ,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N°69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 20047, GA 23664",362234.00406347,485219422.257095,"0413"
29,"04",CHIRIQUÍ,"14",TIERRAS ALTAS,LEY N° 55 DEL 13 DE SEPTIEMBRE DE 2013,N/A,GA 27374,N/A,119488.179345267,359781604.516524,"0414"
30,"05",DARIÉN,"01",CHEPIGANA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 22 DEL 27 DE DICIEMBRE DE 1922, LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 58 DEL 29 DE JULIO DE 1998",GA 02404,"GA 04079, GA 23602, GA 19965",1020962.0449692,4681480126.95618,"0501"
31,"05",DARIÉN,"02",PINOGANA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 22 DEL 27 DE DICIEMBRE DE 1922, LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 58 DEL 29 DE JULIO DE 1998",GA 02404,"GA 04079, GA 23602, GA 19965",798862.857112686,4887486367.78901,"0502"
32,"05",DARIÉN,"03",SANTA FE,LEY N° 57 DEL 14 DE JULIO DE 2017,N/A,28322-A,N/A,678067.632794343,2430898911.36551,"0503"
