fid,PROV_ID,PROV_NOMB,Shape_Leng,Shape_Area,PROV_LEY,LEY_MOD_P,GACETA_P,GACE_MOD_P
1,"01",BOCAS DEL TORO,1433710.8442502,4654253929.34415,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 10  DEL 7 DE MARZO DE 1997, LEY N° 69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 19956, GA 23242, GA 23664"
2,"02",COCLÉ,493639.817954557,4945369674.31816,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58  DEL  29 DE JULIO DE 1998,GA 02404,GA 23602
3,"03",COLÓN,2194108.46992527,4605305229.56279,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,GA 02404,GA 19981
4,"04",CHIRIQUÍ,1581961.90010035,6582272378.0147,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 10  DEL 7 DE MARZO DE 1997, LEY N° 69  DEL 28 DE OCTUBRE DE 1998",GA 02404,"GA 20047, GA 23242, GA 23664"
5,"05",DARIÉN,1970453.60965904,11999786517.336,LEY N° 22 DEL 27 DE DICIEMBRE DE 1922,"LEY N° 20 DEL 31 DE ENERO DE 1957, LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N°99 DEL 23 DE DICIEMBRE DE 1998",GA 04079,"GA 13282, GA 19965, GA 23701"
6,"06",HERRERA,319977.99389626,2364721198.08008,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58  DEL  29 DE JULIO DE 1998,GA 02404,GA 23602
7,"07",LOS SANTOS,375251.525313692,3814569065.49094,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58  DEL  29 DE JULIO DE 1998,GA 02404,GA 23602
8,"08",PANAMÁ,3040112.24084184,8485186712.00413,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 22 DEL 27 DE DICIEMBRE DE 1922, LEY N° 2 DEL 16 DE SEPTIEMBRE DE 1938, LEY N° 20 DEL 31 DE ENERO DE 1957, LEY N° 1 DEL 27 DE OCTUBRE DE 1982, LEY N° 119 DEL 30 DE DICIEMBRE DE 2013",GA 02404,"GA 04079, GA 07873, GA 13282, GA 20006, GA 27443-A"
9,"09",VERAGUAS,1893078.23417456,10605667622.5416,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58  DEL  29 DE JULIO DE 1998,GA 02404,GA 23602
10,"10",COMARCA KUNA YALA,1215397.17901532,2303106853.50517,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 2 DEL 16 DE SEPTIEMBRE DE 1938, LEY Nº 1 DEL 27 DE OCTUBRE DE 1982, LEY Nº 99 DEL 23 DE DICIEMBRE DE 1998",GA 02404,"GA 7873, GA 19960, GA 23701"
11,"11",COMARCA EMBERÁ,619277.408503068,4362016517.64482,LEY N° 22 DEL 8 DE NOVIEMBRE DE 1983,N/A,GA 19976,N/A
12,"12",COMARCA NGÄBE BUGLÉ,1436648.4745863,6836069735.26741,LEY N° 10  DEL 7 DE MARZO DE 1997,LEY N° 69  DEL 28 DE OCTUBRE DE 1998,GA 23242,GA 23664
13,"13",PANAMÁ OESTE,958546.394244171,2890866221.80363,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,N/A,GA 27443-A,N/A
